zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
29107,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29118,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29829,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29850,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29115,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29113,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29821,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29146,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29860,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29164,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29847,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29838,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29138,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29003,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29845,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29160,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
29834,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.1201627004675387,0.07414842446255031,0.15979355632610115
